ticker,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,usd_jpy_rate
PLTR,10,USD,177.9199981689453,1779.1999816894531,275918.33641821286,27.0,413.76743,68.09882967228572,1.6250561001670039,155.0800018310547
TSLA,3,USD,454.5299987792969,1363.5899963378906,211465.53912888793,20.69,313.46896,65.43839409889628,0.5832052859756951,155.0800018310547
GOOGL,2,USD,317.6199951171875,635.239990234375,98513.01884870604,9.64,31.354393,33.379844804387055,1.9093393508336387,155.0800018310547
IONQ,11,USD,54.7599983215332,602.3599815368652,93413.98703969113,9.14,,119.55493389501723,0.9142856813382365,155.0800018310547
SOFI,20,USD,29.600000381469727,592.0000076293945,91807.3622671509,8.98,52.857143,64.53660480879645,1.261056338456055,155.0800018310547
AMZN,2,USD,229.11000061035156,458.2200012207031,71060.75862833252,6.95,32.36017,34.96145478733389,0.16889212137013274,155.0800018310547
AAPL,1,USD,280.70001220703125,280.70001220703125,43530.95840704348,4.26,37.576977,32.77147722501894,0.49808905172286677,155.0800018310547
QQQM,1,USD,256.4599914550781,256.4599914550781,39771.815944445785,3.89,35.12476,23.701039114189566,0.7297722572439597,155.0800018310547
BBD,56,USD,3.630000114440918,203.2800064086914,31524.663766076672,3.08,10.083333,37.700951240359245,1.7115760557634039,155.0800018310547
NVDA,1,USD,183.3800048828125,183.3800048828125,28438.57149300538,2.78,45.50372,49.83761218499857,0.6458337335847754,155.0800018310547
PFE,4,USD,25.700000762939453,102.80000305175781,15942.224661499029,1.56,14.94186,26.383181587701067,0.2472225457403459,155.0800018310547
GLDM,1,USD,83.33000183105469,83.33000183105469,12922.816836541751,1.26,,19.404844196450522,2.3393845507950437,155.0800018310547
RKLB,1,USD,49.369998931884766,49.369998931884766,7656.299524755857,0.75,,87.31901494664534,1.2203115170487815,155.0800018310547
MSFT,0,USD,480.8399963378906,0.0,0.0,0.0,34.247864,24.479956279667316,0.3298950714057719,155.0800018310547
