ticker,name,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,usd_jpy_rate
PLTR,Palantir Technologies Inc.,10,USD,177.9199981689453,1779.1999816894531,275923,27.0,413.76743,68.09882967228572,1.6250561001670039,155.08299255371094
TSLA,"Tesla, Inc.",3,USD,454.5299987792969,1363.5899963378906,211469,20.69,313.46896,65.43839409889628,0.5832052859756951,155.08299255371094
GOOGL,Alphabet Inc.,2,USD,317.6199951171875,635.239990234375,98514,9.64,31.354393,33.37983626417122,1.9093397504504117,155.08299255371094
IONQ,"IonQ, Inc.",11,USD,54.7599983215332,602.3599815368652,93415,9.14,,119.55493389501723,0.9142856813382365,155.08299255371094
SOFI,"SoFi Technologies, Inc.",20,USD,29.600000381469727,592.0000076293945,91809,8.98,52.857143,64.53660480879645,1.261056338456055,155.08299255371094
AMZN,"Amazon.com, Inc.",2,USD,229.11000061035156,458.2200012207031,71062,6.95,32.36017,34.96145478733389,0.16889212137013274,155.08299255371094
AAPL,Apple Inc.,1,USD,280.70001220703125,280.70001220703125,43531,4.26,37.576977,32.77148300723837,0.49808920377569776,155.08299255371094
QQQM,Invesco NASDAQ 100 ETF,1,USD,256.4599914550781,256.4599914550781,39772,3.89,35.12476,23.701041591685936,0.7297722061376127,155.08299255371094
BBD,Banco Bradesco S.A.,56,USD,3.630000114440918,203.2800064086914,31525,3.08,10.083333,37.7009550050331,1.7115760781809355,155.08299255371094
NVDA,NVIDIA Corporation,1,USD,183.3800048828125,183.3800048828125,28439,2.78,45.50372,49.83761381651067,0.6458337396427729,155.08299255371094
PFE,Pfizer Inc.,4,USD,25.700000762939453,102.80000305175781,15942,1.56,14.94186,26.383186108475982,0.2472219378275863,155.08299255371094
GLDM,SPDR Gold MiniShares,1,USD,83.33000183105469,83.33000183105469,12923,1.26,,19.404844196450522,2.3393845507950437,155.08299255371094
RKLB,Rocket Lab Corporation,1,USD,49.369998931884766,49.369998931884766,7656,0.75,,87.31901494664534,1.2203115170487815,155.08299255371094
MSFT,Microsoft Corporation,0,USD,480.8399963378906,0.0,0,0.0,34.247864,24.47995616551612,0.32989535189464164,155.08299255371094
